Country_Code,Location,Neurologists_Number,Country
MUS,Africa,0.23,Mauritius
DOM,Americas,0.69,Dominican Republic
SWE,Europe,4.2,Sweden
FRA,Europe,3.8,France
NLD,Europe,6.01,Netherlands
FJI,Western Pacific,0,Fiji
TUN,Eastern Mediterranean,1.58,Dominican Republic
AUS,Western Pacific,2.1,Australia
CHE,Europe,10.73,Switzerland
JPN,Western Pacific,4.38,Netherlands
JOR,Eastern Mediterranean,0.41,Jordan
MMR,South-East Asia,0.07,Myanmar
HUN,Europe,6.6,Hungary
TGO,Africa,0.14,Togo
BGD,South-East Asia,0.09,Bangladesh
CRI,Americas,0.61,Costa Rica
QAT,Eastern Mediterranean,1.78,Qatar
CHL,Americas,4.79,Chile
SWZ,Africa,0,Eswatini
